HIP,RA_rad,Dec_rad,parallax,pmRA,pmDec,HpMag
4577,0.2557158849,-0.5123844106,4.2,20.13,5.31,4.2628
4587,0.2562643417,-0.1986174046,10.2,-34.21,-14.59,5.7802
4675,0.2620573433,0.7803943873,8.4,13.85,-23.83,5.6834
4770,0.2674881021,-0.6792236559,6.35,66.99,49.28,5.7493
4852,0.2724442741,-0.5506870214,14.04,80.5,14.64,5.5405
4889,0.2740957131,0.5550903905,7.52,14.33,-30.25,5.4945
4890,0.2741033575,-0.8097863121,13.68,-1.9,11.26,5.5481
4906,0.2746461629,0.1377077463,17.94,-80.17,25.59,4.4267
4914,0.2750787768,-0.0844102372,9.78,-115.33,-102.01,5.5696
5021,0.2806743147,1.074778014,12.38,-80.06,-25.06,5.9575
5081,0.2840051721,0.2608569707,18.32,7.03,53.51,5.735
5131,0.2865923267,0.3747783248,11.86,44.49,-14.82,5.3425
5132,0.2866469009,0.3746431785,11.64,52.88,-11.88,5.5192
5164,0.2883523913,-0.1717293798,5.53,31.1,6.1,5.5908
5165,0.2883508108,-0.8153915713,0.12,-80.81,34.97,3.4646
5268,0.2936932886,-1.0781817138,10.72,73.8,-11.55,5.5032
5296,0.2956966118,-0.1707907963,21.21,149.2,17.27,5.8131
5300,0.2958206692,-0.7240836493,17.56,38.67,4.32,5.2617
5310,0.2964957896,0.3619694333,21.14,86.72,-82.75,5.6084
5317,0.2967582348,0.7669367868,16.96,161.3,-61.44,5.0821
5336,0.2976456257,0.9586086146,132.38,3422.23,-1598.93,5.2898
5346,0.2983308545,0.098614963,28.4,-242.32,-165.07,5.5927
5348,0.2983829537,-0.9642216752,10.92,20.87,30.64,3.9219
5361,0.2991383599,1.016889551,5.41,17.1,-12.94,5.7762
5364,0.2992704213,-0.1777081665,26.32,215.61,-139.02,3.6235
5372,0.2999173329,1.5054707132,11.64,80.65,-11.54,4.4059
5434,0.3032598396,0.8245253821,4.55,4.05,-12.43,4.235
5447,0.3042543513,0.6217007721,16.52,175.9,-112.2,2.1741
5454,0.3046475671,0.343103549,8.66,-6.04,8.75,5.7069
5493,0.3068032273,0.7344620687,19.13,-135.14,-42.25,5.7972
5494,0.3068470165,0.4443266141,8.28,0.23,-114.4,5.9332
5518,0.3082880844,1.2004145533,11.78,35.77,-27.17,5.3204
5542,0.3102272388,0.9625481678,24.42,226.77,-18.75,4.3873
5544,0.31028851,0.5484656247,6.79,-9.63,-12.63,5.225
5550,0.3105441835,0.6584104218,4.13,-14.94,-5.21,5.7691
5566,0.3116515578,1.1205489204,8.06,40.71,-19.44,5.5482
5571,0.3117735601,0.3671243468,8.5,39.32,-10.48,4.8317
5586,0.3126747653,0.5251648498,19.32,73.88,-38.3,4.6751
5589,0.3128043684,1.1347936206,8.4,23.65,-13.59,5.5562
5626,0.3153598728,1.3905731941,12.07,94.97,-5.14,5.6135
5737,0.3217079613,0.1322172321,18.76,145,-55.69,5.2849
5742,0.321790363,0.4290676311,7.31,17.5,-22.04,4.834
5778,0.3234421093,0.2815834316,7.17,-30.46,-26.53,5.9444
5799,0.3246288421,-0.1382911682,42.76,124.64,277.64,5.2444
5833,0.3264624149,-0.0170046407,23.3,-14.38,205.71,5.7987
5862,0.3280177346,-0.7946850105,66.16,665.13,177.63,5.0854
5896,0.3305577399,-1.2021171133,47.72,412.11,127.74,4.9639
5926,0.3324780873,1.2521663271,1.18,-0.95,-0.5,5.9673
5951,0.3342557638,-0.0436369432,12.41,-99.43,-63.55,5.5765
6061,0.3394653783,0.0630852841,13.28,-46.75,-21.61,5.1732
6193,0.3467371309,0.4758480839,10.59,22.98,-11.12,4.7736
6242,0.3494234739,1.0163334311,0.27,-0.59,-1.59,5.1132
6315,0.3539639691,0.5015795275,9.31,27.95,-75.41,5.3776
6411,0.3592755213,0.7946267037,15.21,31.45,8.83,5.0399
6502,0.3644078799,-0.5401009688,3.34,-15.17,-45.2,5.9239
6514,0.3651051169,0.6582507581,15.66,82.07,-20.46,5.6691
6537,0.3666246783,-0.1428159978,28.66,-77.94,-206.53,3.7757
6592,0.3694842577,-0.7241800192,13.84,17.32,-36.42,5.5784
